,messages,user,message_Date,hour,minute,second,day,month,year
0,"‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.",🐌 snail,2020-04-18 23:04:22,23,4,22,Saturday,April,2020
1,‎Sharat created group “hanga erli”,Sharat 🔞,2020-04-18 23:04:20,23,4,20,Saturday,April,2020
2,‎Sharat added you,🐌 snail,2020-04-18 23:04:21,23,4,21,Saturday,April,2020
3,‎Baganna changed the subject to “Agethi😉”,Vinayak 👩,2020-04-18 23:04:56,23,4,56,Saturday,April,2020
4,Yak pa e group?,Vinayak 👩,2020-04-18 23:05:36,23,5,36,Saturday,April,2020
5,yenena kalasaka,Sharat 🔞,2020-04-18 23:08:06,23,8,6,Saturday,April,2020
6,Nk na add mad,Vinayak 👩,2020-04-18 23:08:18,23,8,18,Saturday,April,2020
7,adana,Sharat 🔞,2020-04-18 23:08:26,23,8,26,Saturday,April,2020
8,Ella,Vinayak 👩,2020-04-18 23:09:00,23,9,0,Saturday,April,2020
9,add madak baravald,Sharat 🔞,2020-04-18 23:09:25,23,9,25,Saturday,April,2020
10,Admin mad nanga,Vinayak 👩,2020-04-18 23:10:45,23,10,45,Saturday,April,2020
11,‎NK 🐂 joined using this group's invite link‎,Abhishek 🐂,2020-04-18 23:10:52,23,10,52,Saturday,April,2020
12,‎image omitted,Sharat 🔞,2020-04-18 23:17:47,23,17,47,Saturday,April,2020
13,Mansik na add madrii le,Abhishek 🐂,2020-04-18 23:18:23,23,18,23,Saturday,April,2020
14,‎Sharat added Rohit,Rohit 💃,2020-04-18 23:19:17,23,19,17,Saturday,April,2020
15,Ageti‎,Rohit 💃,2020-04-18 23:21:19,23,21,19,Saturday,April,2020
16,‎sticker omitted‎,Rohit 💃,2020-04-18 23:21:25,23,21,25,Saturday,April,2020
17,‎sticker omitted‎,Vinayak 👩,2020-04-18 23:21:36,23,21,36,Saturday,April,2020
18,‎sticker omitted‎,Rohit 💃,2020-04-18 23:22:01,23,22,1,Saturday,April,2020
19,‎sticker omitted‎,Vinayak 👩,2020-04-18 23:22:29,23,22,29,Saturday,April,2020
20,‎sticker omitted,Vinayak 👩,2020-04-18 23:22:45,23,22,45,Saturday,April,2020
21,‎This message was deleted.,Rohit 💃,2020-04-18 23:24:38,23,24,38,Saturday,April,2020
22,‎This message was deleted.‎,Rohit 💃,2020-04-18 23:24:48,23,24,48,Saturday,April,2020
23,‎sticker omitted‎,Vinayak 👩,2020-04-18 23:24:58,23,24,58,Saturday,April,2020
24,‎sticker omitted‎,Rohit 💃,2020-04-18 23:24:59,23,24,59,Saturday,April,2020
25,‎sticker omitted,Vinayak 👩,2020-04-18 23:25:27,23,25,27,Saturday,April,2020
26,Benkki french le‎,Abhishek 🐂,2020-04-18 23:25:34,23,25,34,Saturday,April,2020
27,‎sticker omitted,Rohit 💃,2020-04-18 23:25:46,23,25,46,Saturday,April,2020
28,🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:25:48,23,25,48,Saturday,April,2020
29,🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:25:51,23,25,51,Saturday,April,2020
30,Sann chutya,Abhishek 🐂,2020-04-18 23:26:17,23,26,17,Saturday,April,2020
31,🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:26:22,23,26,22,Saturday,April,2020
32,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:26:24,23,26,24,Saturday,April,2020
33,🤣 🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:26:28,23,26,28,Saturday,April,2020
34,🤣 🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:26:29,23,26,29,Saturday,April,2020
35,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:26:32,23,26,32,Saturday,April,2020
